"date","calendar_index","year","count","split","period","count_method","index","dataset","D_max","final_split","neural_split"
"2006-06-15",166,2006,3,"development",365,"Distinct incident_key per occurrence date.",166,"nyc_shootings",100,"development","train"
"2006-06-16",167,2006,2,"development",365,"Distinct incident_key per occurrence date.",167,"nyc_shootings",100,"development","train"
"2006-06-17",168,2006,6,"development",365,"Distinct incident_key per occurrence date.",168,"nyc_shootings",100,"development","train"
"2006-06-18",169,2006,13,"development",365,"Distinct incident_key per occurrence date.",169,"nyc_shootings",100,"development","train"
"2006-06-19",170,2006,5,"development",365,"Distinct incident_key per occurrence date.",170,"nyc_shootings",100,"development","train"
"2006-06-20",171,2006,6,"development",365,"Distinct incident_key per occurrence date.",171,"nyc_shootings",100,"development","train"
"2006-06-21",172,2006,6,"development",365,"Distinct incident_key per occurrence date.",172,"nyc_shootings",100,"development","train"
"2006-06-22",173,2006,5,"development",365,"Distinct incident_key per occurrence date.",173,"nyc_shootings",100,"development","train"
"2006-06-23",174,2006,10,"development",365,"Distinct incident_key per occurrence date.",174,"nyc_shootings",100,"development","train"
"2006-06-24",175,2006,5,"development",365,"Distinct incident_key per occurrence date.",175,"nyc_shootings",100,"development","train"
"2006-06-25",176,2006,3,"development",365,"Distinct incident_key per occurrence date.",176,"nyc_shootings",100,"development","train"
"2006-06-26",177,2006,4,"development",365,"Distinct incident_key per occurrence date.",177,"nyc_shootings",100,"development","train"
"2006-06-27",178,2006,5,"development",365,"Distinct incident_key per occurrence date.",178,"nyc_shootings",100,"development","train"
"2006-06-28",179,2006,9,"development",365,"Distinct incident_key per occurrence date.",179,"nyc_shootings",100,"development","train"
"2006-06-29",180,2006,1,"development",365,"Distinct incident_key per occurrence date.",180,"nyc_shootings",100,"development","train"
"2006-06-30",181,2006,8,"development",365,"Distinct incident_key per occurrence date.",181,"nyc_shootings",100,"development","train"
"2006-07-01",182,2006,2,"development",365,"Distinct incident_key per occurrence date.",182,"nyc_shootings",100,"development","train"
"2006-07-02",183,2006,8,"development",365,"Distinct incident_key per occurrence date.",183,"nyc_shootings",100,"development","train"
"2006-07-03",184,2006,5,"development",365,"Distinct incident_key per occurrence date.",184,"nyc_shootings",100,"development","train"
"2006-07-04",185,2006,7,"development",365,"Distinct incident_key per occurrence date.",185,"nyc_shootings",100,"development","train"
"2006-07-05",186,2006,6,"development",365,"Distinct incident_key per occurrence date.",186,"nyc_shootings",100,"development","train"
"2006-07-06",187,2006,2,"development",365,"Distinct incident_key per occurrence date.",187,"nyc_shootings",100,"development","train"
"2006-07-07",188,2006,4,"development",365,"Distinct incident_key per occurrence date.",188,"nyc_shootings",100,"development","train"
"2006-07-08",189,2006,8,"development",365,"Distinct incident_key per occurrence date.",189,"nyc_shootings",100,"development","train"
"2006-07-09",190,2006,9,"development",365,"Distinct incident_key per occurrence date.",190,"nyc_shootings",100,"development","train"
"2006-07-10",191,2006,5,"development",365,"Distinct incident_key per occurrence date.",191,"nyc_shootings",100,"development","train"
"2006-07-11",192,2006,7,"development",365,"Distinct incident_key per occurrence date.",192,"nyc_shootings",100,"development","train"
"2006-07-12",193,2006,3,"development",365,"Distinct incident_key per occurrence date.",193,"nyc_shootings",100,"development","train"
"2006-07-13",194,2006,5,"development",365,"Distinct incident_key per occurrence date.",194,"nyc_shootings",100,"development","train"
"2006-07-14",195,2006,6,"development",365,"Distinct incident_key per occurrence date.",195,"nyc_shootings",100,"development","train"
"2006-07-15",196,2006,8,"development",365,"Distinct incident_key per occurrence date.",196,"nyc_shootings",100,"development","train"
"2006-07-16",197,2006,7,"development",365,"Distinct incident_key per occurrence date.",197,"nyc_shootings",100,"development","train"
"2006-07-17",198,2006,5,"development",365,"Distinct incident_key per occurrence date.",198,"nyc_shootings",100,"development","train"
"2006-07-18",199,2006,6,"development",365,"Distinct incident_key per occurrence date.",199,"nyc_shootings",100,"development","train"
"2006-07-19",200,2006,5,"development",365,"Distinct incident_key per occurrence date.",200,"nyc_shootings",100,"development","train"
"2006-07-20",201,2006,1,"development",365,"Distinct incident_key per occurrence date.",201,"nyc_shootings",100,"development","train"
"2006-07-21",202,2006,6,"development",365,"Distinct incident_key per occurrence date.",202,"nyc_shootings",100,"development","train"
"2006-07-22",203,2006,10,"development",365,"Distinct incident_key per occurrence date.",203,"nyc_shootings",100,"development","train"
"2006-07-23",204,2006,5,"development",365,"Distinct incident_key per occurrence date.",204,"nyc_shootings",100,"development","train"
"2006-07-24",205,2006,4,"development",365,"Distinct incident_key per occurrence date.",205,"nyc_shootings",100,"development","train"
"2006-07-25",206,2006,3,"development",365,"Distinct incident_key per occurrence date.",206,"nyc_shootings",100,"development","train"
"2006-07-26",207,2006,7,"development",365,"Distinct incident_key per occurrence date.",207,"nyc_shootings",100,"development","train"
"2006-07-27",208,2006,4,"development",365,"Distinct incident_key per occurrence date.",208,"nyc_shootings",100,"development","train"
"2006-07-28",209,2006,4,"development",365,"Distinct incident_key per occurrence date.",209,"nyc_shootings",100,"development","train"
"2006-07-29",210,2006,4,"development",365,"Distinct incident_key per occurrence date.",210,"nyc_shootings",100,"development","train"
"2006-07-30",211,2006,11,"development",365,"Distinct incident_key per occurrence date.",211,"nyc_shootings",100,"development","train"
"2006-07-31",212,2006,2,"development",365,"Distinct incident_key per occurrence date.",212,"nyc_shootings",100,"development","train"
"2006-08-01",213,2006,5,"development",365,"Distinct incident_key per occurrence date.",213,"nyc_shootings",100,"development","train"
"2006-08-02",214,2006,3,"development",365,"Distinct incident_key per occurrence date.",214,"nyc_shootings",100,"development","train"
"2006-08-03",215,2006,4,"development",365,"Distinct incident_key per occurrence date.",215,"nyc_shootings",100,"development","train"
"2006-08-04",216,2006,1,"development",365,"Distinct incident_key per occurrence date.",216,"nyc_shootings",100,"development","train"
"2006-08-05",217,2006,7,"development",365,"Distinct incident_key per occurrence date.",217,"nyc_shootings",100,"development","train"
"2006-08-06",218,2006,10,"development",365,"Distinct incident_key per occurrence date.",218,"nyc_shootings",100,"development","train"
"2006-08-07",219,2006,6,"development",365,"Distinct incident_key per occurrence date.",219,"nyc_shootings",100,"development","train"
"2006-08-08",220,2006,7,"development",365,"Distinct incident_key per occurrence date.",220,"nyc_shootings",100,"development","train"
"2006-08-09",221,2006,6,"development",365,"Distinct incident_key per occurrence date.",221,"nyc_shootings",100,"development","train"
"2006-08-10",222,2006,2,"development",365,"Distinct incident_key per occurrence date.",222,"nyc_shootings",100,"development","train"
"2006-08-11",223,2006,7,"development",365,"Distinct incident_key per occurrence date.",223,"nyc_shootings",100,"development","train"
"2006-08-12",224,2006,6,"development",365,"Distinct incident_key per occurrence date.",224,"nyc_shootings",100,"development","train"
"2006-08-13",225,2006,9,"development",365,"Distinct incident_key per occurrence date.",225,"nyc_shootings",100,"development","train"
"2006-08-14",226,2006,5,"development",365,"Distinct incident_key per occurrence date.",226,"nyc_shootings",100,"development","train"
"2006-08-15",227,2006,3,"development",365,"Distinct incident_key per occurrence date.",227,"nyc_shootings",100,"development","train"
"2006-08-16",228,2006,8,"development",365,"Distinct incident_key per occurrence date.",228,"nyc_shootings",100,"development","train"
